"filename", "language", "Python", "JSON", "Properties", "comment", "blank", "total"
"d:\Code\crawlers\booking\crawlers\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"d:\Code\crawlers\booking\crawlers\cities.json", "JSON", 0, 292, 0, 0, 0, 292
"d:\Code\crawlers\booking\crawlers\home.json", "JSON", 0, 0, 0, 0, 1, 1
"d:\Code\crawlers\booking\crawlers\items.py", "Python", 28, 0, 0, 6, 9, 43
"d:\Code\crawlers\booking\crawlers\middlewares.py", "Python", 34, 0, 0, 45, 25, 104
"d:\Code\crawlers\booking\crawlers\pipelines.py", "Python", 4, 0, 0, 5, 5, 14
"d:\Code\crawlers\booking\crawlers\settings.py", "Python", 9, 0, 0, 68, 18, 95
"d:\Code\crawlers\booking\crawlers\spiders\__init__.py", "Python", 0, 0, 0, 4, 1, 5
"d:\Code\crawlers\booking\crawlers\spiders\booking.py", "Python", 230, 0, 0, 10, 19, 259
"d:\Code\crawlers\booking\scrapy.cfg", "Properties", 0, 0, 4, 5, 3, 12
"d:\Code\crawlers\combine_db.py", "Python", 400, 0, 0, 5, 42, 447
"d:\Code\crawlers\combined_home.json", "JSON", 0, 1, 0, 0, 0, 1
"d:\Code\crawlers\package-lock.json", "JSON", 0, 1113, 0, 0, 1, 1114
"d:\Code\crawlers\package.json", "JSON", 0, 5, 0, 0, 1, 6
"d:\Code\crawlers\scheduler.py", "Python", 13, 0, 0, 4, 8, 25
"d:\Code\crawlers\script.py", "Python", 33, 0, 0, 16, 18, 67
"d:\Code\crawlers\sentiment_analyzer.py", "Python", 154, 0, 0, 30, 29, 213
"d:\Code\crawlers\tool.py", "Python", 18, 0, 0, 5, 8, 31
"d:\Code\crawlers\tool2.py", "Python", 43, 0, 0, 0, 2, 45
"d:\Code\crawlers\traveloka\scrapy.cfg", "Properties", 0, 0, 4, 5, 3, 12
"d:\Code\crawlers\traveloka\traveloka\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"d:\Code\crawlers\traveloka\traveloka\cities.json", "JSON", 0, 292, 0, 0, 0, 292
"d:\Code\crawlers\traveloka\traveloka\home.json", "JSON", 0, 0, 0, 0, 1, 1
"d:\Code\crawlers\traveloka\traveloka\homes.json", "JSON", 0, 9, 0, 0, 0, 9
"d:\Code\crawlers\traveloka\traveloka\items.py", "Python", 28, 0, 0, 6, 8, 42
"d:\Code\crawlers\traveloka\traveloka\middlewares.py", "Python", 34, 0, 0, 45, 25, 104
"d:\Code\crawlers\traveloka\traveloka\pipelines.py", "Python", 4, 0, 0, 5, 5, 14
"d:\Code\crawlers\traveloka\traveloka\room.json", "JSON", 0, 14, 0, 0, 0, 14
"d:\Code\crawlers\traveloka\traveloka\settings.py", "Python", 14, 0, 0, 69, 20, 103
"d:\Code\crawlers\traveloka\traveloka\spiders\__init__.py", "Python", 0, 0, 0, 4, 1, 5
"d:\Code\crawlers\traveloka\traveloka\spiders\crawler.py", "Python", 250, 0, 0, 6, 17, 273
"Total", "-", 1296, 1726, 8, 343, 272, 3645